Compound,Negative,Neutral,Positive
-0.6369,0.112,0.856,0.032
-0.9022,0.18,0.779,0.041
-0.9552,0.214,0.738,0.048
-0.969,0.24,0.688,0.072
-0.5945,0.134,0.785,0.081
-0.9924,0.348,0.598,0.054
-0.8979,0.15,0.787,0.064
-0.8316,0.121,0.842,0.037
-0.8176,0.147,0.784,0.069
-0.9081,0.22,0.653,0.127
0.1531,0.09,0.814,0.096
-0.8338,0.2,0.688,0.112
0.9325,0.027,0.822,0.151
0.7311,0.104,0.762,0.134
0.9325,0.027,0.822,0.151
-0.7506,0.188,0.7,0.112
-0.5719,0.102,0.813,0.085
-0.9231,0.158,0.735,0.107
-0.5719,0.102,0.813,0.085
-0.4767,0.119,0.844,0.037
-0.4767,0.119,0.844,0.037
-0.4767,0.119,0.844,0.037
-0.5574,0.151,0.727,0.121
0.1724,0.062,0.861,0.078
-0.8442,0.124,0.834,0.042
-0.7845,0.129,0.815,0.056
-0.9652,0.258,0.719,0.022
-0.9698,0.257,0.677,0.066
-0.9776,0.286,0.714,0.0
-0.9441,0.199,0.729,0.072
-0.9144,0.204,0.649,0.148
-0.4939,0.155,0.722,0.124
0.9022,0.074,0.735,0.19
-0.9643,0.228,0.758,0.014
-0.9423,0.236,0.654,0.109
-0.7845,0.149,0.803,0.048
-0.5859,0.149,0.739,0.112
-0.9274,0.136,0.826,0.038
-0.9545,0.243,0.656,0.101
-0.9432,0.177,0.792,0.031
-0.4871,0.097,0.827,0.076
-0.9451,0.21,0.744,0.045
-0.9246,0.18,0.723,0.097
-0.9109,0.23,0.687,0.082
-0.9723,0.34,0.564,0.096
-0.9704,0.234,0.685,0.081
-0.5994,0.166,0.691,0.144
-0.1779,0.12,0.749,0.131
-0.9571,0.264,0.654,0.083
-0.8519,0.118,0.858,0.023
-0.6908,0.129,0.798,0.073
-0.6908,0.13,0.81,0.06
-0.7845,0.17,0.752,0.078
-0.9382,0.216,0.669,0.115
-0.9337,0.168,0.832,0.0
-0.9773,0.242,0.664,0.094
-0.936,0.181,0.819,0.0
-0.9796,0.29,0.685,0.025
-0.9437,0.173,0.776,0.051
-0.8481,0.134,0.866,0.0
0.0,0.053,0.884,0.064
-0.8481,0.09,0.876,0.034
-0.9796,0.262,0.65,0.088
0.3612,0.099,0.778,0.123
-0.872,0.156,0.747,0.096
-0.872,0.135,0.766,0.098
-0.25,0.111,0.77,0.12
-0.9783,0.338,0.601,0.06
-0.9349,0.176,0.824,0.0
0.3818,0.112,0.771,0.117
-0.7184,0.24,0.76,0.0
-0.3063,0.109,0.783,0.107
-0.9811,0.238,0.656,0.106
0.3818,0.0,0.698,0.302
-0.9811,0.231,0.666,0.103
0.0,0.066,0.867,0.066
0.0,0.066,0.867,0.066
-0.9811,0.25,0.688,0.062
-0.802,0.161,0.707,0.132
-0.9623,0.181,0.7,0.119
-0.8834,0.146,0.799,0.055
0.296,0.092,0.783,0.124
0.6281,0.128,0.701,0.171
-0.9873,0.298,0.652,0.05
0.5423,0.057,0.836,0.107
-0.967,0.246,0.74,0.014
-0.8779,0.154,0.786,0.06
-0.7845,0.121,0.86,0.019
-0.9186,0.22,0.78,0.0
-0.5719,0.062,0.922,0.016
0.2001,0.135,0.72,0.145
-0.7906,0.094,0.88,0.027
-0.9169,0.665,0.335,0.0
-0.8689,0.135,0.82,0.046
-0.9889,0.295,0.643,0.062
-0.8979,0.199,0.758,0.043
-0.9153,0.188,0.744,0.067
-0.9231,0.195,0.734,0.071
-0.875,0.188,0.707,0.105
-0.9871,0.243,0.719,0.038
-0.9423,0.409,0.591,0.0
-0.967,0.236,0.678,0.087
-0.9902,0.242,0.74,0.018
-0.9423,0.24,0.719,0.041
-0.2584,0.225,0.775,0.0
-0.9403,0.25,0.644,0.106
0.05,0.117,0.739,0.144
-0.936,0.14,0.845,0.015
-0.7717,0.163,0.762,0.075
-0.6369,0.142,0.817,0.041
-0.7906,0.218,0.732,0.05
0.7003,0.0,0.721,0.279
-0.9393,0.32,0.68,0.0
-0.6908,0.158,0.842,0.0
-0.9091,0.271,0.642,0.087
-0.8625,0.199,0.779,0.023
0.5719,0.059,0.763,0.178
0.5574,0.042,0.83,0.127
-0.9485,0.409,0.591,0.0
0.4767,0.118,0.633,0.249
0.6908,0.066,0.787,0.147
0.25,0.033,0.911,0.056
0.0258,0.101,0.793,0.106
0.3612,0.151,0.668,0.181
-0.743,0.148,0.852,0.0
-0.4019,0.135,0.766,0.099
-0.3612,0.173,0.669,0.159
-0.6808,0.162,0.786,0.052
0.0772,0.111,0.771,0.118
-0.9337,0.301,0.699,0.0
-0.765,0.167,0.833,0.0
-0.9042,0.32,0.68,0.0
-0.4019,0.085,0.915,0.0
-0.7906,0.251,0.647,0.102
-0.8225,0.272,0.728,0.0
-0.7351,0.193,0.738,0.069
-0.6369,0.172,0.828,0.0
0.1779,0.047,0.872,0.081
0.4215,0.069,0.792,0.139
0.1531,0.045,0.897,0.058
-0.9432,0.403,0.541,0.056
-0.9524,0.449,0.551,0.0
-0.9371,0.321,0.635,0.044
-0.5994,0.159,0.841,0.0
-0.5719,0.162,0.769,0.069
-0.7096,0.144,0.856,0.0
-0.5719,0.153,0.847,0.0
0.128,0.207,0.599,0.195
-0.7845,0.239,0.761,0.0
-0.4497,0.14,0.781,0.079
-0.8179,0.237,0.71,0.054
-0.7845,0.175,0.789,0.035
-0.8225,0.35,0.605,0.045
-0.5994,0.109,0.891,0.0
-0.5574,0.238,0.663,0.099
-0.3818,0.143,0.789,0.067
0.1531,0.051,0.882,0.066
-0.4019,0.15,0.85,0.0
-0.9393,0.311,0.656,0.033
0.5423,0.055,0.764,0.182
0.0,0.0,1.0,0.0
-0.743,0.3,0.7,0.0
0.3182,0.074,0.808,0.118
-0.5106,0.148,0.852,0.0
-0.7579,0.333,0.667,0.0
-0.836,0.194,0.806,0.0
0.0,0.0,1.0,0.0
-0.5423,0.144,0.802,0.054
0.0516,0.119,0.758,0.123
-0.8479,0.236,0.684,0.08
0.4939,0.0,0.882,0.118
-0.8658,0.275,0.665,0.06
-0.2732,0.109,0.804,0.087
0.6808,0.0,0.728,0.272
-0.0772,0.058,0.89,0.052
-0.7579,0.236,0.764,0.0
-0.5994,0.163,0.837,0.0
-0.8402,0.197,0.758,0.045
-0.7184,0.176,0.824,0.0
-0.1027,0.167,0.588,0.245
-0.872,0.271,0.642,0.087
-0.5859,0.127,0.828,0.044
-0.6908,0.189,0.69,0.122
-0.3182,0.073,0.927,0.0
-0.7506,0.239,0.642,0.119
-0.9287,0.245,0.72,0.035
-0.3612,0.08,0.879,0.041
0.4404,0.06,0.803,0.137
-0.1779,0.088,0.846,0.066
-0.9153,0.279,0.721,0.0
-0.8834,0.284,0.716,0.0
-0.8934,0.281,0.719,0.0
-0.8402,0.225,0.775,0.0
-0.1027,0.049,0.951,0.0
-0.967,0.4,0.6,0.0
0.3818,0.068,0.777,0.155
-0.9442,0.365,0.635,0.0
-0.9201,0.322,0.626,0.051
-0.7506,0.244,0.756,0.0
0.0,0.0,1.0,0.0
-0.34,0.146,0.854,0.0
-0.9799,0.338,0.662,0.0
-0.8658,0.236,0.731,0.033
0.2023,0.081,0.812,0.107
0.5789,0.056,0.792,0.152
0.4919,0.0,0.86,0.14
0.4019,0.0,0.828,0.172
-0.6808,0.167,0.792,0.041
0.0,0.0,1.0,0.0
-0.6486,0.104,0.861,0.035
-0.7184,0.287,0.61,0.104
-0.9022,0.252,0.748,0.0
-0.1027,0.131,0.799,0.07
-0.9136,0.321,0.679,0.0
-0.9349,0.382,0.618,0.0
0.8126,0.0,0.769,0.231
0.4215,0.06,0.8,0.14
-0.7562,0.237,0.626,0.138
-0.9022,0.262,0.738,0.0
0.4939,0.0,0.865,0.135
-0.8074,0.307,0.63,0.063
-0.8807,0.305,0.616,0.079
0.2023,0.0,0.913,0.087
-0.5267,0.193,0.682,0.125
0.0,0.117,0.738,0.145
0.5267,0.0,0.843,0.157
0.7717,0.0,0.801,0.199
0.128,0.143,0.7,0.157
-0.7684,0.129,0.843,0.028
-0.8591,0.204,0.796,0.0
-0.765,0.258,0.742,0.0
-0.25,0.096,0.851,0.053
-0.9153,0.339,0.661,0.0
-0.6705,0.261,0.594,0.145
0.2023,0.09,0.743,0.167
-0.3182,0.091,0.855,0.053
0.7351,0.058,0.718,0.225
0.128,0.0,0.952,0.048
-0.2023,0.205,0.795,0.0
-0.7269,0.119,0.818,0.062
0.0,0.0,1.0,0.0
-0.802,0.243,0.653,0.104
-0.8126,0.219,0.781,0.0
-0.9201,0.326,0.674,0.0
0.0,0.0,1.0,0.0
-0.25,0.113,0.806,0.081
-0.8625,0.274,0.675,0.051
-0.5719,0.128,0.816,0.056
-0.3208,0.055,0.912,0.033
0.3182,0.058,0.809,0.133
-0.6597,0.122,0.878,0.0
-0.7494,0.203,0.797,0.0
-0.6705,0.123,0.877,0.0
-0.9118,0.245,0.712,0.043
-0.4939,0.176,0.824,0.0
-0.5574,0.201,0.633,0.166
-0.6666,0.155,0.781,0.064
-0.9485,0.243,0.697,0.059
0.1027,0.05,0.887,0.064
-0.9565,0.34,0.612,0.048
-0.9565,0.463,0.445,0.091
-0.4588,0.12,0.88,0.0
-0.9201,0.327,0.673,0.0
-0.5994,0.259,0.741,0.0
0.4939,0.049,0.825,0.126
-0.9565,0.308,0.692,0.0
-0.8481,0.325,0.675,0.0
-0.2263,0.102,0.83,0.068
0.5267,0.092,0.762,0.146
-0.7906,0.308,0.592,0.101
-0.9217,0.28,0.623,0.097
0.4497,0.0,0.803,0.197
-0.8316,0.311,0.622,0.067
-0.9349,0.344,0.563,0.093
-0.8126,0.291,0.709,0.0
-0.8957,0.304,0.696,0.0
-0.9081,0.332,0.622,0.046
-0.967,0.3,0.673,0.026
-0.6597,0.355,0.645,0.0
-0.7579,0.126,0.874,0.0
-0.9313,0.377,0.623,0.0
0.1027,0.13,0.729,0.141
-0.8176,0.258,0.686,0.057
-0.7003,0.185,0.717,0.099
-0.7717,0.223,0.708,0.068
-0.7579,0.171,0.78,0.049
-0.4767,0.188,0.699,0.113
0.4019,0.0,0.875,0.125
-0.5267,0.142,0.788,0.07
0.5423,0.0,0.873,0.127
-0.8689,0.244,0.703,0.053
-0.4599,0.159,0.743,0.098
0.4005,0.125,0.721,0.155
-0.6705,0.333,0.667,0.0
-0.975,0.414,0.586,0.0
0.1901,0.084,0.792,0.125
-0.9571,0.309,0.649,0.043
-0.6597,0.206,0.714,0.08
0.6808,0.0,0.798,0.202
-0.6369,0.19,0.754,0.056
-0.296,0.153,0.744,0.103
-0.6808,0.111,0.889,0.0
-0.9403,0.393,0.568,0.039
-0.9231,0.314,0.686,0.0
-0.8176,0.169,0.831,0.0
-0.9153,0.289,0.711,0.0
-0.3182,0.174,0.726,0.101
-0.5859,0.179,0.821,0.0
0.6705,0.0,0.82,0.18
-0.1531,0.039,0.935,0.026
-0.0772,0.073,0.861,0.066
-0.9781,0.492,0.508,0.0
0.3182,0.0,0.881,0.119
0.1531,0.15,0.688,0.162
-0.8779,0.276,0.642,0.081
-0.4404,0.146,0.854,0.0
0.5859,0.0,0.873,0.127
-0.8176,0.215,0.738,0.047
-0.34,0.131,0.799,0.07
-0.9423,0.332,0.668,0.0
-0.5859,0.203,0.676,0.121
-0.7842,0.267,0.617,0.116
-0.9115,0.289,0.711,0.0
-0.9485,0.291,0.709,0.0
-0.5574,0.221,0.683,0.096
-0.0516,0.135,0.736,0.129
-0.296,0.104,0.896,0.0
-0.4588,0.14,0.766,0.095
-0.9134,0.462,0.389,0.149
-0.9623,0.441,0.559,0.0
-0.6249,0.168,0.771,0.061
0.0,0.0,1.0,0.0
0.2023,0.075,0.812,0.113
-0.9643,0.348,0.61,0.042
0.0,0.0,1.0,0.0
-0.743,0.174,0.782,0.044
0.5106,0.07,0.729,0.201
-0.765,0.116,0.851,0.033
-0.5574,0.141,0.859,0.0
-0.9403,0.31,0.69,0.0
-0.8225,0.257,0.743,0.0
-0.9186,0.276,0.671,0.053
-0.7269,0.169,0.831,0.0
-0.91,0.343,0.548,0.11
0.4019,0.036,0.883,0.081
-0.6705,0.129,0.871,0.0
-0.8555,0.286,0.714,0.0
0.296,0.056,0.85,0.095
-0.6486,0.142,0.858,0.0
-0.7003,0.24,0.629,0.131
-0.3612,0.183,0.662,0.155
-0.8126,0.209,0.791,0.0
-0.0731,0.118,0.802,0.08
-0.0772,0.071,0.865,0.064
-0.7845,0.184,0.765,0.052
-0.8591,0.288,0.712,0.0
-0.4767,0.146,0.777,0.078
-0.5719,0.111,0.848,0.041
-0.8481,0.254,0.746,0.0
-0.8225,0.217,0.783,0.0
-0.9501,0.238,0.762,0.0
-0.8225,0.217,0.783,0.0
-0.3818,0.091,0.909,0.0
-0.5423,0.205,0.656,0.139
-0.6124,0.098,0.902,0.0
-0.1531,0.101,0.766,0.133
0.5106,0.0,0.845,0.155
-0.9217,0.222,0.758,0.02
-0.296,0.155,0.759,0.085
-0.8176,0.161,0.781,0.057
-0.296,0.189,0.68,0.131
0.4019,0.0,0.915,0.085
-0.0516,0.038,0.962,0.0
-0.9468,0.269,0.666,0.065
0.4549,0.083,0.748,0.168
-0.8271,0.251,0.749,0.0
-0.5859,0.216,0.625,0.159
-0.7579,0.183,0.817,0.0
-0.802,0.19,0.81,0.0
-0.7783,0.198,0.755,0.047
-0.9652,0.491,0.509,0.0
-0.2263,0.128,0.793,0.079
0.4019,0.127,0.633,0.241
0.1531,0.106,0.759,0.135
-0.836,0.308,0.692,0.0
-0.8176,0.191,0.809,0.0
0.0516,0.086,0.805,0.109
-0.9349,0.293,0.673,0.035
0.8555,0.036,0.676,0.287
0.0,0.0,1.0,0.0
-0.1491,0.172,0.667,0.161
-0.9732,0.455,0.545,0.0
-0.9443,0.412,0.588,0.0
-0.6705,0.174,0.767,0.059
-0.6486,0.267,0.637,0.096
-0.34,0.066,0.934,0.0
-0.3818,0.284,0.505,0.211
0.7506,0.143,0.568,0.289
0.4019,0.062,0.787,0.151
-0.2023,0.089,0.842,0.069
-0.296,0.087,0.913,0.0
-0.6908,0.121,0.879,0.0
0.296,0.061,0.83,0.109
-0.9538,0.358,0.642,0.0
-0.5106,0.149,0.805,0.046
-0.9042,0.292,0.651,0.057
0.2263,0.117,0.744,0.139
-0.2263,0.071,0.929,0.0
-0.9287,0.315,0.685,0.0
0.4754,0.0,0.897,0.103
-0.8957,0.289,0.711,0.0
-0.7506,0.217,0.642,0.141
0.0516,0.133,0.766,0.101
-0.7783,0.254,0.746,0.0
-0.128,0.185,0.708,0.108
-0.7964,0.269,0.731,0.0
-0.802,0.179,0.776,0.045
-0.1531,0.104,0.783,0.113
-0.9313,0.215,0.785,0.0
-0.8885,0.303,0.64,0.058
-0.4019,0.135,0.751,0.114
-0.7783,0.206,0.794,0.0
-0.3182,0.136,0.796,0.068
0.3182,0.086,0.778,0.136
-0.2263,0.075,0.881,0.044
0.4588,0.0,0.897,0.103
0.0,0.0,1.0,0.0
-0.2732,0.106,0.821,0.073
-0.2732,0.057,0.905,0.039
-0.2732,0.106,0.821,0.073
-0.6486,0.147,0.853,0.0
0.0,0.0,1.0,0.0
-0.4588,0.103,0.897,0.0
0.6398,0.066,0.771,0.162
-0.8126,0.402,0.598,0.0
-0.836,0.168,0.832,0.0
-0.7351,0.316,0.564,0.12
-0.8807,0.271,0.671,0.058
-0.8934,0.242,0.698,0.06
-0.9022,0.464,0.536,0.0
-0.2755,0.062,0.905,0.033
0.5719,0.084,0.712,0.204
-0.8689,0.197,0.803,0.0
-0.5994,0.17,0.83,0.0
-0.4118,0.071,0.929,0.0
-0.0772,0.074,0.866,0.061
-0.34,0.058,0.942,0.0
-0.7906,0.254,0.634,0.113
-0.8442,0.227,0.773,0.0
-0.4767,0.134,0.866,0.0
0.3612,0.083,0.789,0.128
0.6597,0.057,0.682,0.261
-0.5106,0.076,0.924,0.0
-0.8885,0.277,0.632,0.091
0.0,0.0,1.0,0.0
-0.3818,0.097,0.832,0.071
0.2263,0.075,0.802,0.123
-0.0772,0.206,0.611,0.183
0.3182,0.148,0.599,0.252
0.0,0.0,1.0,0.0
-0.6705,0.127,0.842,0.03
0.8957,0.0,0.59,0.41
-0.6124,0.111,0.855,0.034
0.5719,0.0,0.87,0.13
0.4767,0.0,0.881,0.119
-0.9081,0.289,0.711,0.0
-0.1531,0.12,0.769,0.111
0.0772,0.127,0.68,0.193
-0.836,0.212,0.788,0.0
0.0,0.0,1.0,0.0
0.6588,0.0,0.565,0.435
-0.6124,0.104,0.896,0.0
-0.6908,0.127,0.873,0.0
-0.8658,0.238,0.762,0.0
0.3612,0.22,0.439,0.341
0.5423,0.0,0.857,0.143
0.1027,0.079,0.793,0.128
-0.5106,0.275,0.725,0.0
0.296,0.049,0.874,0.076
0.6808,0.0,0.791,0.209
-0.5423,0.173,0.767,0.061
-0.8225,0.177,0.823,0.0
0.0,0.0,1.0,0.0
-0.7579,0.16,0.791,0.049
-0.0258,0.098,0.831,0.071
-0.3818,0.263,0.625,0.113
-0.936,0.396,0.493,0.111
-0.8807,0.22,0.746,0.034
0.5267,0.0,0.833,0.167
-0.2732,0.052,0.948,0.0
0.128,0.096,0.786,0.118
-0.7994,0.188,0.739,0.072
0.0,0.0,1.0,0.0
-0.2263,0.068,0.932,0.0
0.4019,0.0,0.915,0.085
-0.7096,0.266,0.63,0.104
-0.8481,0.199,0.801,0.0
0.0,0.0,1.0,0.0
-0.8402,0.175,0.751,0.074
-0.5859,0.142,0.858,0.0
-0.3818,0.167,0.833,0.0
0.0516,0.052,0.892,0.056
-0.7783,0.192,0.704,0.105
0.0,0.0,1.0,0.0
0.2023,0.0,0.933,0.067
-0.6124,0.192,0.753,0.055
-0.1027,0.135,0.741,0.124
-0.9169,0.315,0.685,0.0
-0.8555,0.176,0.824,0.0
-0.6124,0.221,0.647,0.132
-0.25,0.135,0.789,0.076
-0.8402,0.22,0.78,0.0
-0.34,0.072,0.928,0.0
-0.7845,0.182,0.709,0.109
-0.7783,0.228,0.772,0.0
-0.8779,0.207,0.74,0.053
0.0516,0.094,0.806,0.1
-0.8225,0.322,0.585,0.093
-0.6214,0.503,0.497,0.0
-0.1779,0.13,0.764,0.106
-0.0516,0.088,0.804,0.108
-0.4215,0.108,0.817,0.075
0.4939,0.0,0.89,0.11
0.0,0.0,1.0,0.0
-0.4939,0.225,0.603,0.173
-0.3612,0.098,0.902,0.0
-0.8591,0.314,0.617,0.069
0.1779,0.0,0.931,0.069
0.0,0.0,1.0,0.0
-0.1531,0.118,0.754,0.128
-0.7717,0.233,0.767,0.0
-0.875,0.235,0.735,0.031
0.296,0.045,0.873,0.081
-0.6705,0.148,0.852,0.0
-0.4215,0.113,0.887,0.0
0.2617,0.099,0.777,0.123
0.296,0.0,0.927,0.073
0.3612,0.078,0.783,0.139
-0.3612,0.135,0.799,0.066
-0.5859,0.146,0.854,0.0
-0.9081,0.331,0.669,0.0
-0.4019,0.176,0.691,0.133
-0.9645,0.33,0.67,0.0
-0.4404,0.111,0.827,0.062
-0.875,0.4,0.6,0.0
0.0772,0.086,0.782,0.132
-0.8402,0.228,0.69,0.082
-0.6486,0.169,0.831,0.0
-0.8658,0.263,0.699,0.037
-0.6249,0.151,0.79,0.059
-0.6782,0.125,0.875,0.0
-0.1027,0.091,0.829,0.08
-0.7906,0.233,0.767,0.0
-0.296,0.071,0.929,0.0
-0.8834,0.284,0.716,0.0
-0.0366,0.058,0.888,0.054
0.2263,0.061,0.866,0.073
0.128,0.0,0.842,0.158
-0.5719,0.165,0.739,0.096
-0.4404,0.109,0.891,0.0
-0.4588,0.116,0.833,0.05
-0.6494,0.162,0.742,0.096
0.0516,0.208,0.549,0.243
-0.8658,0.265,0.694,0.041
-0.9136,0.301,0.572,0.127
-0.34,0.2,0.692,0.108
-0.9509,0.31,0.69,0.0
-0.3182,0.073,0.927,0.0
-0.7096,0.156,0.844,0.0
-0.836,0.217,0.724,0.058
-0.7906,0.194,0.806,0.0
0.0,0.0,1.0,0.0
0.6124,0.078,0.709,0.213
-0.9122,0.291,0.655,0.053
-0.5994,0.14,0.86,0.0
-0.4588,0.14,0.761,0.099
0.4767,0.0,0.795,0.205
-0.9493,0.222,0.778,0.0
-0.4767,0.141,0.784,0.075
0.9325,0.0,0.622,0.378
0.8481,0.068,0.725,0.207
-0.891,0.207,0.695,0.098
-0.2732,0.132,0.757,0.112
0.4019,0.0,0.829,0.171
0.25,0.082,0.796,0.122
0.34,0.088,0.776,0.137
0.5267,0.086,0.784,0.131
-0.8271,0.347,0.59,0.063
-0.8225,0.217,0.783,0.0
-0.7184,0.17,0.772,0.058
-0.9274,0.19,0.774,0.036
-0.6249,0.121,0.837,0.042
-0.6597,0.205,0.676,0.12
-0.3818,0.23,0.592,0.178
-0.4215,0.091,0.862,0.047
-0.7184,0.247,0.676,0.078
0.0,0.0,1.0,0.0
-0.5647,0.2,0.72,0.08
-0.5644,0.197,0.803,0.0
-0.8807,0.286,0.676,0.038
-0.815,0.163,0.813,0.023
0.4767,0.084,0.801,0.114
0.4767,0.084,0.801,0.114
0.0516,0.0,0.963,0.037
-0.4939,0.077,0.879,0.044
0.1779,0.07,0.836,0.094
-0.9382,0.371,0.577,0.052
-0.743,0.208,0.792,0.0
-0.34,0.122,0.813,0.065
0.1531,0.184,0.583,0.233
-0.2023,0.151,0.708,0.14
-0.4404,0.101,0.834,0.065
-0.8555,0.181,0.819,0.0
-0.5994,0.165,0.773,0.061
-0.6486,0.248,0.608,0.144
-0.7003,0.173,0.718,0.109
-0.7906,0.153,0.748,0.099
-0.4404,0.1,0.9,0.0
0.25,0.061,0.878,0.061
-0.8225,0.142,0.858,0.0
0.34,0.0,0.93,0.07
-0.2732,0.08,0.92,0.0
-0.8676,0.333,0.568,0.098
-0.0258,0.213,0.578,0.209
-0.91,0.215,0.687,0.098
0.0,0.0,1.0,0.0
-0.3818,0.171,0.742,0.087
-0.7003,0.17,0.727,0.103
-0.8442,0.339,0.614,0.047
0.0,0.0,1.0,0.0
-0.7845,0.197,0.767,0.036
-0.2023,0.153,0.709,0.138
0.2732,0.049,0.859,0.092
-0.4549,0.104,0.818,0.078
0.7845,0.067,0.667,0.267
-0.1027,0.149,0.851,0.0
-0.891,0.274,0.686,0.04
-0.9442,0.268,0.677,0.055
0.0,0.0,1.0,0.0
-0.9201,0.206,0.757,0.036
-0.9201,0.193,0.773,0.034
-0.3612,0.179,0.653,0.168
-0.8834,0.318,0.61,0.072
-0.128,0.051,0.949,0.0
-0.2023,0.055,0.903,0.042
0.0,0.0,1.0,0.0
0.5256,0.042,0.884,0.075
0.3612,0.0,0.737,0.263
-0.8519,0.172,0.781,0.047
-0.6705,0.17,0.792,0.038
-0.93,0.173,0.782,0.045
-0.9001,0.222,0.66,0.118
-0.4939,0.08,0.894,0.027
-0.6486,0.205,0.726,0.069
0.0,0.0,1.0,0.0
-0.3612,0.385,0.615,0.0
-0.631,0.187,0.664,0.149
0.128,0.0,0.842,0.158
-0.5994,0.117,0.806,0.076
-0.4767,0.152,0.75,0.099
-0.9091,0.275,0.725,0.0
-0.755,0.187,0.757,0.055
-0.4588,0.111,0.889,0.0
-0.8979,0.182,0.818,0.0
-0.9313,0.157,0.843,0.0
0.0772,0.112,0.758,0.13
-0.7964,0.265,0.581,0.154
-0.7783,0.169,0.777,0.054
-0.128,0.144,0.701,0.155
-0.5859,0.388,0.612,0.0
-0.7783,0.112,0.888,0.0
-0.891,0.152,0.848,0.0
0.0772,0.082,0.832,0.086
-0.296,0.239,0.761,0.0
-0.9809,0.263,0.712,0.024
-0.9524,0.344,0.608,0.048
-0.8689,0.252,0.669,0.079
-0.7717,0.233,0.767,0.0
0.1027,0.135,0.706,0.159
-0.8271,0.106,0.894,0.0
-0.6597,0.085,0.887,0.028
-0.6267,0.165,0.752,0.083
-0.926,0.252,0.748,0.0
-0.9538,0.38,0.573,0.047
-0.7184,0.171,0.829,0.0
-0.7964,0.22,0.657,0.124
-0.9062,0.291,0.709,0.0
-0.5719,0.171,0.829,0.0
-0.8316,0.173,0.753,0.074
-0.91,0.175,0.767,0.059
-0.4767,0.117,0.816,0.068
-0.3182,0.123,0.797,0.08
-0.8298,0.257,0.635,0.108
0.3818,0.028,0.917,0.055
-0.6808,0.228,0.772,0.0
-0.2263,0.088,0.862,0.05
-0.7906,0.241,0.759,0.0
0.2023,0.198,0.521,0.281
-0.4767,0.178,0.693,0.129
-0.8979,0.31,0.647,0.043
0.7783,0.05,0.754,0.196
-0.9747,0.36,0.569,0.071
-0.34,0.11,0.837,0.053
-0.5574,0.275,0.616,0.109
0.0258,0.052,0.893,0.055
0.765,0.0,0.602,0.398
-0.8402,0.207,0.694,0.099
0.3818,0.0,0.698,0.302
-0.3182,0.151,0.724,0.125
-0.9814,0.303,0.697,0.0
