Compound,Negative,Neutral,Positive
-0.9246,0.289,0.711,0.0
-0.9881,0.263,0.737,0.0
-0.9607,0.314,0.606,0.08
-0.9607,0.314,0.606,0.08
-0.9607,0.314,0.606,0.08
-0.9325,0.375,0.625,0.0
-0.9136,0.162,0.794,0.044
0.0,0.0,1.0,0.0
-0.6249,0.087,0.878,0.036
-0.9168,0.323,0.58,0.097
-0.7184,0.197,0.737,0.066
-0.9661,0.432,0.568,0.0
-0.6705,0.113,0.887,0.0
-0.6705,0.155,0.845,0.0
-0.875,0.133,0.867,0.0
-0.9648,0.402,0.598,0.0
-0.9349,0.341,0.512,0.148
-0.4215,0.114,0.815,0.071
0.34,0.0,0.676,0.324
0.9382,0.0,0.685,0.315
-0.5423,0.125,0.799,0.077
0.9001,0.079,0.755,0.166
-0.4939,0.13,0.87,0.0
-0.9643,0.267,0.708,0.025
-0.9682,0.211,0.771,0.018
-0.9353,0.249,0.616,0.134
-0.4939,0.242,0.758,0.0
-0.7351,0.122,0.878,0.0
-0.3612,0.294,0.706,0.0
-0.9287,0.237,0.763,0.0
-0.9231,0.19,0.81,0.0
0.6369,0.0,0.679,0.321
-0.9814,0.286,0.688,0.026
-0.9803,0.255,0.708,0.037
-0.4215,0.148,0.732,0.12
-0.9565,0.387,0.613,0.0
-0.9623,0.235,0.765,0.0
0.0,0.0,1.0,0.0
-0.9382,0.244,0.725,0.031
-0.9382,0.207,0.767,0.027
-0.6249,0.157,0.758,0.084
-0.9371,0.257,0.701,0.042
0.0,0.0,1.0,0.0
-0.1779,0.126,0.744,0.13
0.0,0.0,1.0,0.0
0.4003,0.093,0.789,0.118
0.25,0.237,0.526,0.237
0.3612,0.015,0.951,0.034
0.5423,0.052,0.881,0.068
-0.5719,0.155,0.745,0.101
-0.7003,0.266,0.602,0.132
0.0,0.0,1.0,0.0
-0.128,0.108,0.775,0.116
-0.128,0.087,0.819,0.094
-0.6808,0.113,0.819,0.068
-0.4588,0.147,0.785,0.068
-0.9169,0.269,0.731,0.0
0.7717,0.0,0.765,0.235
-0.8126,0.243,0.757,0.0
-0.1935,0.127,0.796,0.077
-0.7906,0.139,0.806,0.056
-0.83,0.136,0.801,0.063
0.5574,0.063,0.811,0.126
-0.3182,0.063,0.937,0.0
0.1531,0.089,0.778,0.133
0.5423,0.0,0.829,0.171
-0.8591,0.219,0.729,0.052
-0.4939,0.296,0.704,0.0
-0.8779,0.246,0.665,0.09
0.2023,0.127,0.73,0.144
-0.8519,0.198,0.689,0.113
0.2023,0.127,0.73,0.144
-0.2263,0.087,0.913,0.0
-0.6705,0.474,0.526,0.0
-0.5719,0.096,0.865,0.038
-0.6249,0.129,0.792,0.079
-0.8957,0.282,0.718,0.0
0.0,0.0,1.0,0.0
-0.8979,0.218,0.782,0.0
-0.8979,0.161,0.839,0.0
0.6486,0.0,0.819,0.181
-0.3818,0.13,0.758,0.112
0.6486,0.124,0.667,0.209
-0.7964,0.191,0.702,0.107
0.1901,0.139,0.733,0.128
-0.9287,0.37,0.63,0.0
0.0,0.0,1.0,0.0
-0.7269,0.24,0.569,0.191
-0.2263,0.139,0.757,0.104
0.8402,0.0,0.471,0.529
-0.0516,0.054,0.907,0.039
0.8316,0.045,0.832,0.123
0.1027,0.0,0.959,0.041
-0.8519,0.275,0.662,0.064
0.4019,0.033,0.894,0.073
-0.765,0.123,0.806,0.07
-0.6486,0.16,0.757,0.083
-0.7096,0.156,0.792,0.051
-0.8442,0.261,0.689,0.05
-0.9325,0.212,0.737,0.051
-0.8442,0.261,0.689,0.05
-0.8271,0.225,0.775,0.0
-0.2732,0.101,0.827,0.072
0.4019,0.0,0.928,0.072
-0.8194,0.195,0.686,0.119
0.34,0.0,0.909,0.091
-0.7867,0.143,0.757,0.099
-0.6486,0.246,0.663,0.091
-0.9565,0.396,0.604,0.0
-0.5023,0.113,0.814,0.073
-0.9753,0.22,0.733,0.047
-0.7783,0.174,0.782,0.044
-0.128,0.084,0.845,0.071
-0.926,0.226,0.689,0.085
-0.9325,0.186,0.733,0.081
0.1531,0.13,0.72,0.15
0.1531,0.13,0.72,0.15
-0.1779,0.066,0.894,0.04
-0.7845,0.173,0.827,0.0
-0.8225,0.107,0.868,0.025
-0.8316,0.21,0.734,0.056
-0.25,0.111,0.889,0.0
-0.7906,0.1,0.9,0.0
0.0,0.0,1.0,0.0
-0.93,0.205,0.739,0.056
-0.3182,0.101,0.828,0.072
-0.9442,0.174,0.765,0.061
-0.3612,0.201,0.612,0.187
-0.872,0.242,0.707,0.051
-0.3182,0.054,0.909,0.037
-0.1531,0.108,0.773,0.119
0.0,0.0,1.0,0.0
-0.936,0.174,0.757,0.069
-0.936,0.158,0.78,0.063
-0.6558,0.204,0.732,0.065
-0.7184,0.167,0.833,0.0
-0.872,0.2,0.735,0.065
-0.9423,0.191,0.765,0.044
-0.5267,0.121,0.879,0.0
-0.9799,0.274,0.704,0.022
-0.9752,0.339,0.661,0.0
-0.9657,0.403,0.547,0.049
-0.9925,0.37,0.609,0.022
-0.5423,0.145,0.798,0.057
-0.4588,0.144,0.741,0.115
0.4019,0.062,0.794,0.143
-0.9855,0.31,0.64,0.05
-0.296,0.104,0.896,0.0
-0.9118,0.335,0.665,0.0
0.0,0.0,1.0,0.0
-0.8922,0.163,0.776,0.061
-0.8922,0.155,0.786,0.058
-0.7184,0.133,0.826,0.041
-0.8271,0.265,0.662,0.073
-0.8555,0.154,0.789,0.056
-0.7906,0.137,0.863,0.0
-0.2477,0.102,0.796,0.102
-0.8519,0.178,0.822,0.0
0.6249,0.0,0.907,0.093
-0.891,0.212,0.788,0.0
-0.7579,0.107,0.846,0.047
-0.891,0.212,0.788,0.0
-0.9601,0.256,0.701,0.043
0.3612,0.098,0.743,0.159
-0.4767,0.088,0.912,0.0
-0.296,0.196,0.804,0.0
-0.891,0.291,0.656,0.053
-0.8957,0.183,0.73,0.087
-0.2023,0.112,0.79,0.097
-0.5994,0.245,0.755,0.0
0.8519,0.023,0.854,0.123
0.0,0.0,1.0,0.0
-0.5574,0.217,0.69,0.093
-0.802,0.148,0.768,0.083
-0.802,0.214,0.679,0.106
0.296,0.0,0.732,0.268
0.912,0.0,0.799,0.201
-0.8834,0.191,0.809,0.0
0.7964,0.0,0.838,0.162
0.3919,0.115,0.688,0.196
-0.9451,0.433,0.486,0.081
0.1027,0.078,0.801,0.12
-0.9393,0.313,0.623,0.064
-0.9349,0.195,0.712,0.094
-0.1027,0.073,0.882,0.045
0.5267,0.055,0.766,0.179
-0.4215,0.272,0.57,0.158
-0.9325,0.232,0.733,0.035
0.7096,0.0,0.803,0.197
-0.2732,0.141,0.746,0.113
0.7184,0.0,0.8,0.2
-0.6249,0.188,0.71,0.102
0.25,0.148,0.651,0.201
-0.4019,0.351,0.649,0.0
-0.296,0.075,0.866,0.058
-0.1027,0.046,0.954,0.0
0.3612,0.0,0.921,0.079
0.296,0.0,0.913,0.087
0.5719,0.0,0.916,0.084
-0.8316,0.26,0.675,0.065
-0.9765,0.225,0.762,0.013
0.2732,0.076,0.79,0.134
0.0,0.0,1.0,0.0
-0.7717,0.159,0.793,0.048
-0.2263,0.073,0.927,0.0
-0.8225,0.132,0.836,0.033
-0.4767,0.113,0.827,0.06
0.2023,0.085,0.804,0.111
0.0,0.0,1.0,0.0
0.2023,0.079,0.817,0.104
0.0,0.0,1.0,0.0
-0.4767,0.172,0.706,0.122
0.0,0.0,1.0,0.0
-0.7506,0.205,0.734,0.062
-0.8271,0.199,0.801,0.0
-0.8225,0.256,0.639,0.105
-0.5423,0.2,0.8,0.0
0.2023,0.056,0.867,0.077
-0.34,0.111,0.83,0.059
0.34,0.087,0.74,0.173
0.872,0.071,0.654,0.275
-0.9538,0.377,0.544,0.08
-0.8885,0.304,0.696,0.0
-0.9001,0.294,0.649,0.056
-0.5574,0.12,0.771,0.11
-0.7845,0.153,0.727,0.12
-0.8271,0.316,0.533,0.151
0.0772,0.075,0.841,0.084
0.1027,0.138,0.714,0.147
-0.8519,0.215,0.785,0.0
-0.8462,0.208,0.792,0.0
-0.3612,0.104,0.835,0.061
0.3818,0.091,0.743,0.166
-0.9442,0.285,0.715,0.0
-0.8176,0.245,0.689,0.066
-0.0,0.09,0.796,0.114
0.0,0.0,1.0,0.0
-0.765,0.229,0.689,0.082
-0.5994,0.151,0.766,0.084
-0.9552,0.359,0.545,0.095
-0.8481,0.194,0.746,0.06
0.3612,0.087,0.751,0.162
-0.0772,0.084,0.84,0.076
-0.743,0.186,0.758,0.056
0.4648,0.163,0.571,0.266
0.7906,0.0,0.757,0.243
-0.6908,0.121,0.879,0.0
-0.7269,0.209,0.73,0.061
-0.8779,0.258,0.684,0.057
-0.875,0.279,0.721,0.0
-0.8225,0.292,0.652,0.056
-0.9545,0.326,0.674,0.0
-0.7845,0.177,0.823,0.0
-0.7783,0.2,0.738,0.062
-0.6705,0.156,0.764,0.08
-0.6705,0.17,0.73,0.101
-0.872,0.209,0.748,0.043
-0.9313,0.275,0.725,0.0
-0.7783,0.181,0.746,0.073
-0.25,0.038,0.962,0.0
-0.8074,0.243,0.655,0.102
0.4019,0.105,0.703,0.192
-0.6705,0.179,0.754,0.067
0.2263,0.096,0.746,0.158
-0.8225,0.285,0.607,0.107
-0.8591,0.207,0.759,0.034
0.7034,0.0,0.861,0.139
-0.3182,0.107,0.835,0.058
-0.2263,0.078,0.87,0.052
0.6124,0.045,0.828,0.127
-0.936,0.318,0.637,0.045
-0.4019,0.148,0.742,0.109
0.4767,0.0,0.903,0.097
0.8225,0.0,0.787,0.213
0.7184,0.0,0.846,0.154
0.25,0.071,0.808,0.121
0.7506,0.094,0.608,0.298
-0.8074,0.208,0.724,0.069
-0.4939,0.158,0.722,0.12
0.1779,0.058,0.865,0.078
-0.9545,0.28,0.682,0.038
-0.9737,0.431,0.487,0.082
-0.6751,0.181,0.731,0.088
0.0,0.0,1.0,0.0
-0.1761,0.188,0.62,0.193
-0.4215,0.162,0.764,0.073
0.886,0.056,0.66,0.284
-0.6705,0.127,0.873,0.0
0.1531,0.09,0.786,0.124
0.0,0.0,1.0,0.0
-0.7096,0.182,0.818,0.0
-0.5719,0.161,0.769,0.069
-0.128,0.048,0.952,0.0
0.6908,0.0,0.878,0.122
-0.4767,0.16,0.76,0.08
-0.4767,0.12,0.831,0.048
-0.5719,0.153,0.751,0.095
-0.8885,0.22,0.757,0.022
0.5859,0.055,0.786,0.159
-0.8225,0.208,0.792,0.0
-0.8885,0.252,0.633,0.115
0.0,0.0,1.0,0.0
-0.8979,0.322,0.633,0.046
0.34,0.069,0.801,0.13
0.6166,0.07,0.7,0.23
-0.9939,0.472,0.509,0.02
-0.631,0.108,0.847,0.045
-0.9843,0.379,0.571,0.05
0.2023,0.137,0.701,0.162
-0.296,0.211,0.62,0.169
-0.8847,0.321,0.516,0.164
0.6597,0.089,0.712,0.2
0.8442,0.0,0.849,0.151
-0.6597,0.112,0.888,0.0
-0.9571,0.299,0.641,0.06
-0.9118,0.243,0.681,0.075
-0.7184,0.114,0.86,0.026
-0.7382,0.264,0.612,0.124
0.7845,0.038,0.708,0.253
-0.2023,0.043,0.957,0.0
-0.2732,0.143,0.743,0.114
0.7717,0.0,0.835,0.165
-0.8316,0.196,0.804,0.0
-0.0772,0.117,0.779,0.104
0.2732,0.158,0.635,0.207
-0.5859,0.093,0.871,0.035
-0.9001,0.216,0.784,0.0
-0.5442,0.165,0.706,0.129
0.3818,0.0,0.915,0.085
-0.3182,0.084,0.916,0.0
0.128,0.079,0.81,0.111
-0.5719,0.096,0.904,0.0
-0.7906,0.265,0.735,0.0
-0.6551,0.109,0.891,0.0
-0.9565,0.302,0.698,0.0
-0.7096,0.184,0.761,0.055
-0.0258,0.172,0.658,0.169
0.25,0.074,0.795,0.131
-0.5267,0.123,0.847,0.03
0.3182,0.085,0.767,0.148
-0.9291,0.29,0.669,0.042
-0.9382,0.392,0.608,0.0
-0.8402,0.309,0.647,0.044
-0.6705,0.222,0.705,0.073
-0.3291,0.126,0.759,0.115
-0.3182,0.073,0.927,0.0
0.2732,0.0,0.871,0.129
-0.7717,0.271,0.729,0.0
-0.1027,0.114,0.786,0.1
0.765,0.068,0.678,0.254
-0.853,0.231,0.676,0.093
-0.9432,0.34,0.66,0.0
0.25,0.143,0.676,0.181
-0.1027,0.138,0.738,0.124
0.1531,0.143,0.695,0.163
-0.1027,0.138,0.738,0.124
-0.7964,0.243,0.708,0.049
-0.3818,0.093,0.907,0.0
-0.9501,0.317,0.641,0.041
-0.7906,0.242,0.758,0.0
-0.7832,0.172,0.828,0.0
-0.9545,0.366,0.597,0.037
-0.7506,0.162,0.768,0.07
-0.9201,0.318,0.682,0.0
-0.5423,0.128,0.812,0.06
-0.34,0.168,0.703,0.13
-0.9337,0.316,0.663,0.021
-0.8834,0.256,0.744,0.0
-0.6486,0.202,0.798,0.0
-0.1779,0.111,0.787,0.102
-0.6808,0.157,0.764,0.079
-0.296,0.105,0.837,0.058
-0.6486,0.15,0.85,0.0
-0.1531,0.17,0.63,0.2
0.5994,0.037,0.805,0.158
-0.2263,0.041,0.959,0.0
-0.9509,0.377,0.525,0.098
-0.9413,0.338,0.662,0.0
-0.7351,0.214,0.721,0.065
0.6597,0.082,0.647,0.271
-0.5859,0.175,0.753,0.073
-0.8176,0.263,0.737,0.0
-0.9403,0.299,0.654,0.046
0.3818,0.203,0.549,0.247
0.9062,0.0,0.661,0.339
-0.2263,0.223,0.552,0.225
0.6808,0.084,0.679,0.236
-0.0139,0.099,0.76,0.141
0.296,0.0,0.929,0.071
0.0258,0.111,0.76,0.129
-0.4019,0.203,0.629,0.168
-0.5994,0.136,0.82,0.044
-0.9476,0.392,0.608,0.0
0.0258,0.075,0.846,0.078
-0.8519,0.225,0.775,0.0
-0.936,0.311,0.628,0.061
-0.7003,0.206,0.679,0.115
0.5106,0.0,0.891,0.109
-0.8402,0.324,0.609,0.067
-0.9274,0.296,0.609,0.095
-0.9432,0.452,0.481,0.067
-0.891,0.268,0.732,0.0
0.3071,0.162,0.672,0.166
-0.5414,0.172,0.71,0.118
-0.9571,0.372,0.628,0.0
-0.9552,0.319,0.639,0.042
-0.802,0.287,0.622,0.091
-0.4588,0.141,0.778,0.081
-0.6369,0.188,0.695,0.117
-0.9118,0.296,0.704,0.0
0.0,0.0,1.0,0.0
-0.5719,0.194,0.682,0.123
0.4939,0.142,0.678,0.18
0.296,0.09,0.753,0.157
0.0,0.0,1.0,0.0
-0.8176,0.269,0.648,0.082
-0.8442,0.263,0.599,0.138
0.2263,0.08,0.779,0.141
-0.25,0.088,0.854,0.058
-0.6705,0.111,0.889,0.0
0.7845,0.082,0.709,0.209
-0.9081,0.319,0.625,0.056
-0.6705,0.179,0.674,0.146
-0.9081,0.319,0.625,0.056
-0.6249,0.23,0.603,0.167
-0.3612,0.072,0.928,0.0
-0.765,0.223,0.777,0.0
-0.765,0.264,0.617,0.119
-0.6977,0.182,0.76,0.057
-0.891,0.294,0.668,0.037
-0.6908,0.158,0.81,0.032
-0.4939,0.171,0.751,0.078
-0.7717,0.205,0.795,0.0
-0.4215,0.128,0.767,0.105
-0.8074,0.259,0.637,0.104
-0.296,0.157,0.711,0.131
-0.9595,0.347,0.571,0.082
0.0772,0.109,0.775,0.116
-0.7351,0.201,0.733,0.066
-0.8176,0.263,0.691,0.046
-0.4939,0.099,0.901,0.0
0.1779,0.05,0.882,0.068
-0.8658,0.273,0.626,0.101
-0.5994,0.192,0.72,0.088
-0.128,0.068,0.874,0.058
0.0721,0.078,0.798,0.124
-0.7717,0.173,0.827,0.0
-0.2023,0.073,0.927,0.0
-0.6705,0.153,0.847,0.0
-0.6597,0.114,0.86,0.026
0.0516,0.111,0.774,0.115
-0.8934,0.254,0.661,0.085
-0.8885,0.191,0.709,0.1
-0.6705,0.218,0.647,0.134
-0.4215,0.136,0.806,0.058
-0.9118,0.283,0.668,0.049
-0.9062,0.295,0.705,0.0
-0.9783,0.475,0.525,0.0
-0.8591,0.344,0.656,0.0
-0.9001,0.271,0.729,0.0
-0.8225,0.267,0.673,0.06
0.6369,0.128,0.628,0.244
-0.5423,0.155,0.749,0.096
0.0,0.075,0.85,0.075
0.6369,0.0,0.819,0.181
-0.4588,0.197,0.665,0.139
-0.6369,0.185,0.732,0.083
-0.2023,0.205,0.61,0.185
-0.8625,0.262,0.738,0.0
-0.802,0.22,0.78,0.0
-0.7902,0.2,0.8,0.0
0.0,0.0,1.0,0.0
-0.6369,0.229,0.701,0.07
0.4215,0.096,0.73,0.174
0.9222,0.056,0.555,0.389
0.3182,0.063,0.806,0.131
-0.1027,0.045,0.955,0.0
0.25,0.145,0.617,0.238
-0.7579,0.213,0.787,0.0
-0.743,0.164,0.836,0.0
0.25,0.122,0.707,0.171
0.7603,0.0,0.745,0.255
-0.6486,0.129,0.871,0.0
-0.8221,0.256,0.744,0.0
-0.8934,0.299,0.642,0.059
-0.9618,0.354,0.646,0.0
-0.25,0.141,0.719,0.141
-0.3612,0.106,0.894,0.0
0.3818,0.0,0.898,0.102
-0.6808,0.228,0.772,0.0
-0.0772,0.097,0.818,0.086
-0.7783,0.249,0.663,0.088
-0.7717,0.3,0.7,0.0
0.2023,0.125,0.691,0.184
0.0,0.071,0.858,0.071
-0.6486,0.271,0.592,0.137
-0.7964,0.308,0.493,0.199
-0.0258,0.119,0.793,0.088
0.3182,0.0,0.864,0.136
-0.4939,0.137,0.793,0.07
-0.7184,0.222,0.778,0.0
0.6808,0.0,0.763,0.237
0.2263,0.0,0.913,0.087
0.296,0.075,0.812,0.114
-0.6249,0.15,0.85,0.0
0.0,0.0,1.0,0.0
-0.872,0.279,0.685,0.036
-0.3612,0.159,0.775,0.066
-0.6808,0.172,0.828,0.0
0.0772,0.0,0.96,0.04
-0.8689,0.399,0.487,0.114
-0.6705,0.245,0.755,0.0
-0.9337,0.314,0.624,0.062
-0.6124,0.286,0.598,0.115
-0.6705,0.234,0.766,0.0
-0.296,0.081,0.919,0.0
-0.5994,0.193,0.734,0.073
-0.6124,0.172,0.828,0.0
-0.743,0.321,0.59,0.089
-0.9201,0.363,0.637,0.0
-0.7096,0.292,0.56,0.147
-0.6249,0.23,0.642,0.128
-0.4019,0.13,0.87,0.0
0.4588,0.051,0.801,0.147
-0.802,0.244,0.701,0.055
0.296,0.152,0.724,0.124
-0.2263,0.099,0.837,0.065
-0.4767,0.171,0.829,0.0
-0.7717,0.218,0.782,0.0
-0.296,0.081,0.919,0.0
-0.5994,0.13,0.818,0.052
0.2263,0.091,0.76,0.149
-0.5859,0.177,0.7,0.123
-0.886,0.269,0.731,0.0
-0.3182,0.158,0.708,0.134
0.4215,0.047,0.845,0.108
-0.7964,0.272,0.728,0.0
-0.2023,0.174,0.72,0.106
-0.6486,0.269,0.539,0.192
-0.9001,0.309,0.582,0.109
-0.7906,0.233,0.689,0.078
-0.296,0.149,0.759,0.092
-0.6486,0.133,0.867,0.0
-0.5719,0.185,0.695,0.12
-0.0577,0.142,0.692,0.166
-0.8658,0.303,0.697,0.0
-0.8176,0.215,0.785,0.0
-0.805,0.178,0.788,0.033
-0.8807,0.307,0.625,0.068
0.2023,0.072,0.833,0.095
-0.5719,0.229,0.636,0.135
-0.7096,0.194,0.754,0.052
-0.8402,0.257,0.664,0.08
-0.9186,0.325,0.675,0.0
-0.8591,0.336,0.507,0.156
0.0,0.093,0.785,0.122
0.1531,0.13,0.663,0.208
-0.7717,0.22,0.744,0.036
0.5106,0.147,0.629,0.224
-0.1027,0.142,0.764,0.094
0.2732,0.112,0.698,0.19
-0.6705,0.182,0.782,0.036
-0.802,0.224,0.776,0.0
-0.9118,0.307,0.66,0.033
0.128,0.166,0.637,0.197
0.6369,0.08,0.688,0.232
0.296,0.0,0.937,0.062
-0.8779,0.346,0.595,0.059
-0.25,0.071,0.929,0.0
-0.9442,0.342,0.658,0.0
0.4588,0.164,0.625,0.211
-0.9792,0.514,0.426,0.06
-0.3182,0.081,0.919,0.0
-0.7184,0.261,0.674,0.065
0.875,0.0,0.767,0.233
0.4939,0.069,0.794,0.137
-0.6808,0.167,0.833,0.0
-0.5574,0.113,0.887,0.0
-0.9403,0.4,0.6,0.0
-0.9538,0.475,0.525,0.0
0.1027,0.151,0.686,0.163
-0.8225,0.202,0.765,0.033
0.3102,0.0,0.885,0.115
0.2023,0.0,0.948,0.052
0.6249,0.151,0.568,0.281
-0.9022,0.33,0.618,0.053
-0.8225,0.288,0.61,0.102
-0.5994,0.189,0.811,0.0
-0.0541,0.14,0.756,0.104
0.7553,0.0,0.818,0.182
0.2023,0.051,0.847,0.102
0.3612,0.169,0.586,0.245
-0.7506,0.316,0.59,0.094
-0.891,0.29,0.638,0.072
0.7579,0.08,0.69,0.23
-0.4215,0.14,0.776,0.084
-0.8885,0.297,0.656,0.047
-0.4767,0.313,0.451,0.236
-0.4939,0.116,0.884,0.0
0.166,0.14,0.689,0.171
-0.9371,0.317,0.683,0.0
-0.7096,0.231,0.769,0.0
0.5859,0.068,0.763,0.168
-0.9062,0.291,0.709,0.0
-0.8689,0.255,0.7,0.045
0.7096,0.0,0.826,0.174
-0.6808,0.267,0.625,0.108
-0.9169,0.271,0.693,0.036
-0.8531,0.264,0.736,0.0
-0.8885,0.246,0.702,0.052
-0.6597,0.178,0.822,0.0
-0.2732,0.07,0.93,0.0
-0.9337,0.33,0.641,0.03
-0.8225,0.174,0.826,0.0
-0.6597,0.221,0.779,0.0
0.2023,0.1,0.737,0.163
-0.7717,0.178,0.822,0.0
-0.7783,0.203,0.749,0.048
-0.0516,0.103,0.753,0.144
0.6249,0.125,0.609,0.266
-0.8176,0.256,0.677,0.068
-0.765,0.185,0.815,0.0
-0.9022,0.354,0.59,0.057
-0.7184,0.261,0.646,0.093
-0.7096,0.24,0.605,0.156
-0.5994,0.252,0.562,0.187
-0.7906,0.236,0.654,0.11
0.1779,0.142,0.698,0.16
-0.1027,0.072,0.928,0.0
-0.8658,0.279,0.681,0.04
0.4939,0.0,0.87,0.13
-0.296,0.115,0.802,0.083
-0.8176,0.234,0.673,0.093
-0.0516,0.096,0.791,0.113
-0.1531,0.144,0.741,0.116
0.0,0.092,0.816,0.092
-0.886,0.305,0.695,0.0
0.5267,0.087,0.656,0.256
0.4404,0.114,0.637,0.249
-0.6808,0.223,0.701,0.076
0.1531,0.058,0.868,0.074
-0.8176,0.21,0.79,0.0
-0.8519,0.262,0.644,0.094
-0.8834,0.311,0.689,0.0
-0.6486,0.185,0.815,0.0
-0.9648,0.346,0.654,0.0
0.5574,0.0,0.854,0.146
-0.8519,0.21,0.758,0.032
-0.3182,0.144,0.746,0.111
-0.8176,0.211,0.789,0.0
0.743,0.0,0.73,0.27
-0.3134,0.179,0.702,0.12
-0.6124,0.252,0.629,0.119
-0.891,0.285,0.642,0.073
-0.9325,0.385,0.53,0.085
-0.7717,0.169,0.831,0.0
0.5374,0.091,0.777,0.132
-0.9118,0.352,0.595,0.052
-0.967,0.446,0.554,0.0
-0.6705,0.12,0.88,0.0
-0.802,0.308,0.583,0.108
-0.3182,0.069,0.931,0.0
0.0,0.0,1.0,0.0
-0.8176,0.231,0.769,0.0
-0.4404,0.172,0.69,0.138
-0.7845,0.231,0.769,0.0
-0.7269,0.208,0.749,0.042
-0.9246,0.341,0.611,0.048
-0.8074,0.292,0.588,0.12
-0.7096,0.239,0.761,0.0
-0.6486,0.238,0.676,0.085
-0.8625,0.255,0.745,0.0
-0.5574,0.159,0.739,0.102
-0.7184,0.189,0.74,0.071
-0.7783,0.188,0.767,0.045
-0.8402,0.259,0.71,0.031
-0.0258,0.084,0.836,0.08
-0.6124,0.156,0.844,0.0
-0.1531,0.091,0.839,0.07
-0.128,0.157,0.745,0.098
-0.5994,0.189,0.811,0.0
-0.4939,0.144,0.856,0.0
0.6124,0.041,0.811,0.149
-0.3339,0.112,0.803,0.085
-0.8176,0.275,0.593,0.132
0.5267,0.062,0.772,0.167
-0.34,0.076,0.924,0.0
-0.8779,0.258,0.742,0.0
0.1027,0.112,0.72,0.168
-0.6486,0.184,0.742,0.074
-0.8689,0.293,0.649,0.058
-0.4404,0.183,0.716,0.1
0.0,0.0,1.0,0.0
0.6597,0.0,0.822,0.178
0.4019,0.071,0.84,0.089
-0.6369,0.184,0.714,0.102
-0.6705,0.13,0.87,0.0
-0.8591,0.241,0.706,0.053
-0.8402,0.313,0.573,0.115
-0.9062,0.341,0.586,0.074
-0.8979,0.218,0.782,0.0
0.5106,0.037,0.866,0.097
-0.8689,0.201,0.799,0.0
-0.9287,0.268,0.697,0.035
-0.8555,0.264,0.736,0.0
0.5574,0.0,0.867,0.133
0.8225,0.085,0.676,0.239
-0.5719,0.233,0.665,0.102
0.7391,0.126,0.703,0.17
-0.5719,0.233,0.665,0.102
-0.8555,0.226,0.694,0.08
